road,pc
1,249.2892
10,371.6084
100,309.9517
1000,125.1758
1003,33.2725
1004,61.26
1005,44.495
1006,69.24
1008,20.68
1009,19.818
101,57
1010,113.8567
1011,107.45
102,45.14333
1020,45.85
103,206.005
1037,16.65
104,294.3773
105,205.7871
1055,49.01
106,106.5279
1069,12.23
107,154.2958
1080,51.625
1081,4.805
1083,14.69
109,59.67571
11,316.2478
110,36.72857
111,37.97
1110,25.98
1112,43.3825
112,80.24421
113,30.075
114,111.0457
1153,30.77
116,46.67
117,79.915
118,92.52933
1199,247.57
12,23.685
1200,250.948
1201,309.234
1202,277.0433
1203,95.874
1205,181.0133
1206,520.575
1207,192.44
1208,927.68
1209,352.7
121,9.35
1210,125.8
1211,81.21333
123,53.78333
124,83.824
1240,147.34
125,53.516
1251,52.45
1261,32.49667
1263,0.28
127,32.1
13,146.3611
1306,30.65625
1400,58.87
2,63.04125
20,44.37558
200,383.3363
2000,54.65
2001,12.52
2003,40.57
2004,103.785
2008,12.97
201,421.8644
2010,279.27
2011,19.195
2014,1.814
2015,38.7175
2016,19.864
2017,3.97
2018,41.88333
202,320.1863
2021,104.4267
2022,33.644
2023,39.24
2025,34.32
2026,63.18
2029,8.674286
203,286.228
2030,312.43
2031,187.675
2032,112.655
2033,5.886667
2034,17.17167
2036,45.57
2037,37.68
2038,48.25
204,164.13
2040,29.54
2041,7.963333
2042,69
2043,317.1525
2044,47.805
2045,54.65333
2047,187.5467
205,145.1562
2050,24.59
206,101.2137
207,47.79667
2070,22.99
208,74.648
209,49.925
21,65.24194
210,60.458
2100,38.01333
2101,296.64
2102,46.97
211,31.662
212,65.64412
213,25.05091
214,139.3964
215,278.4478
216,77.5375
217,178.725
218,99.944
219,326.404
2198,194.815
2199,243.865
22,28.4512
220,28.4875
2203,80.82
2204,10.34
2205,73.06667
2206,162.13
2208,59.726
2209,150.31
221,13.375
2210,457.74
2211,97.2875
2212,71.10667
2213,97.49333
2214,137.3633
2215,123.2775
2216,321.21
2217,435.25
2218,81.89
2219,70.14
222,55.12471
2220,55.356
223,22.02
224,52.376
225,45.43111
226,28.82474
2260,6.163333
227,55.62143
2270,99.845
228,18.81
2280,53.97
229,18.13083
2290,133.11
23,121.582
230,76.09
2300,31.66
231,53.21
232,39.225
233,23.55429
234,139.88
235,190.695
236,136.9525
237,68.69833
238,180.7425
239,31.058
24,174.0464
240,67.08
242,63.74
243,65.02
244,83.66077
245,57.62077
246,38.98875
247,59.57
248,53.945
249,7.548182
25,33.39591
250,73.80333
2500,65.04
251,9.454
252,11.24333
253,4.75
254,150.2867
255,170.1625
256,47.91143
257,49.70667
258,22.06643
259,125.7305
26,26.50774
260,7.054167
261,7.1775
262,21.586
264,31.4395
265,29.91
267,10.935
268,5.884286
269,20.61667
27,55.38357
270,233.1362
271,37.8125
272,9.260811
273,32.16
274,43.466
275,31.462
277,42.9
278,0
28,37.95594
280,6.96
281,43.81937
282,0.11
283,26.71263
284,32.93
285,39.84
286,46.58937
287,19.02647
288,145.8122
289,40.756
29,18.49533
290,47.242
291,22.785
292,40.60143
293,18.71
295,12.55
296,15.64167
297,31.92
298,171.38
299,7.466429
2990,21.37667
3,148.6294
30,22.72396
300,498.204
3000,395.93
3002,63.4675
3003,242.46
3004,50.502
3005,60.49286
3006,32.76667
3008,15.07
301,725.4967
3010,16.005
3011,26.29
3013,46.835
3016,31.79
302,187.915
3020,35.78
3021,25.24
3023,58.1925
3024,160.5129
3025,101.09
303,1.73
3031,82.89333
3032,34.87333
3035,59.695
3036,603.4833
304,327.8933
3044,51.57167
3046,79.875
305,180.393
3050,439.285
3051,87.15
3054,45.99909
3055,25.134
3056,70.665
3057,70.76786
306,284.054
3063,31.445
307,137.4583
308,144.4716
,0
309,137.7875
3090,33.83429
3093,7.82
3095,17.242
31,11.54185
310,123.67
3100,48.82154
311,114.4425
3113,16.7
312,51.20381
313,91.3775
314,83.7025
315,302.7139
316,129.6762
317,51.62625
318,297.89
319,70.255
32,152.7545
320,51.3
3200,403.652
3201,142.94
3202,104.9375
3203,173.212
3204,112.795
3205,548.4
3207,243.82
3209,485.19
321,40.14615
3210,16.25
3211,670.114
3212,1947.815
3213,99.815
3214,187.628
3216,524.53
3217,289.5929
3218,389.912
3219,494.52
322,20.17105
3220,144.0824
323,54.03846
324,79.75333
325,36.46125
326,18.39778
327,65.90375
328,13.50667
329,69.67239
3290,18.7
,0.5925
33,44.91931
330,40.491
331,1.678667
332,27.80133
334,28.78125
335,78.39273
336,144.75
337,37.19556
338,31.14733
339,14.58941
34,2.167241
340,30.82
3400,3.14
342,40.86
343,45.624
35,65.685
354,0
355,19.49714
36,23.35111
361,18.15182
397,228.27
4,146.411
40,116.3024
400,360.528
4000,29.24929
4001,5.8
4003,284.54
4005,40.72571
4006,33.305
4007,44.955
4008,9.49
401,404.8167
4010,48.486
402,740.7071
4020,400.0183
404,55.16878
406,27.38405
407,85.736
4074,39.8825
408,69.35
4088,43.275
4089,61.18
409,41.2575
4090,80.85333
4094,77.04714
4095,55.71
41,50.68923
410,18.335
411,57.155
412,31.905
4125,17.65
4127,54.54
4128,50.95
4129,40.185
413,22.319
4130,27.75
4140,52.16
4142,81.1725
4144,406.4225
4146,32.81889
415,71.324
4154,46.58
4155,55.3075
4156,9.96
4157,32.45667
4158,2191.11
416,25.898
4165,552.4933
417,29.7925
418,41.73917
4180,58.19857
4183,270
4185,64.805
420,456.0454
4200,425.0283
4201,203.1557
4202,404.58
4204,99.02
4205,180.66
4206,189.13
4207,394.38
4208,92.02
4209,210.69
421,18.48538
422,14.83062
423,0.1475
424,10.47
4260,42.781
428,2.44
43,7.7
436,1
437,41.97
44,81.00417
4421,39.9125
5,74.36771
5000,16.92
501,227.0225
502,265.8767
503,203.942
504,50.075
509,23.40125
5100,46.36
5109,24.022
5130,98.82
5135,3.85
5150,42.9
5200,160.5009
5201,709.7214
5202,171.2067
5203,275.456
5204,238.8283
5205,289.9533
598,107.4986
